model,rmse,mae,r2,cv_score
Linear Regression,1.796185834000049,1.2486286163330078,0.363433837890625,0.363433837890625
Random Forest,0.9280805268287944,0.5724848107070528,0.8300534795880927,0.8300534795880927
Neural Network,2.181190109523761,1.3057087659835815,0.06129729747772217,0.06129729747772217
